OverallQual,Neighborhood,GarageCars,BsmtQual,KitchenQual,ExterQual,GarageArea,FullBath,GarageFinish,Dure_garage,GarageType,Foundation,FireplaceQu,TotRmsAbvGrd,MSSubClass,Dure_house,HeatingQC,BsmtFinType1,Fireplaces,Exterior1st,Exterior2nd,MasVnrType,GrLivArea,MSZoning,OverallCond,HouseStyle,BsmtExposure,SaleCondition,SaleType,GarageCond,2ndFlrSF,TotalBsmtSF,LotShape,GarageQual,CentralAir,HalfBath,LotFrontage,Fence,Electric,OpenPorchSF,Electrical
6,Gilbert,2,Gd,Gd,Gd,393,2,Fin,2,Attchd,PConc,Gd,8,60,0,Ex,Unf,1,VinylSd,VinylSd,None,1484,RL,5,2Story,No,Partial,New,TA,701,783,Reg,TA,Y,1,65,nonappli,SBrkr,72,SBrkr
7,SawyerW,2,Gd,Gd,Gd,555,2,RFn,6,Attchd,PConc,nonappli,5,20,6,Ex,GLQ,0,VinylSd,VinylSd,None,1200,RL,5,1Story,No,Normal,WD,TA,0,1176,Reg,TA,Y,0,67,nonappli,SBrkr,41,SBrkr
7,Somerst,2,Gd,Gd,Gd,528,2,RFn,1,Detchd,PConc,nonappli,5,160,0,Ex,Unf,0,MetalSd,MetalSd,None,1250,FV,5,2Story,No,Partial,New,TA,625,625,IR1,TA,Y,1,35,nonappli,SBrkr,54,SBrkr
7,Crawfor,2,Gd,Ex,Gd,567,2,Fin,51,Attchd,PConc,TA,7,20,8,TA,GLQ,2,BrkFace,HdBoard,None,1902,RL,8,1Story,Av,Normal,WD,TA,0,1902,Reg,TA,Y,0,100,nonappli,SBrkr,207,SBrkr
3,NAmes,2,nonappli,TA,TA,400,2,Unf,57,Detchd,Slab,nonappli,6,90,56,Fa,nonappli,0,Stucco,Stucco,BrkFace,1040,RL,4,1Story,nonappli,Normal,WD,TA,0,0,Reg,TA,N,0,313,nonappli,FuseA,0,FuseA
7,NridgHt,2,Gd,Gd,Gd,644,2,RFn,0,Attchd,PConc,nonappli,7,20,0,Ex,Unf,0,VinylSd,VinylSd,Stone,1502,RL,5,1Story,No,Partial,New,TA,0,1502,IR1,TA,Y,0,79,nonappli,SBrkr,114,SBrkr
5,Sawyer,1,TA,Gd,TA,271,1,Unf,42,Attchd,CBlock,nonappli,6,20,2,Gd,Unf,0,HdBoard,HdBoard,None,1228,RL,6,1Story,No,Normal,WD,TA,0,1228,IR1,TA,Y,1,313,MnPrv,SBrkr,65,SBrkr
5,NAmes,1,TA,TA,Gd,288,1,Unf,60,Attchd,CBlock,Gd,6,40,59,Gd,Rec,1,HdBoard,HdBoard,None,1268,RL,7,1Story,No,Normal,WD,TA,0,832,Reg,TA,Y,0,60,nonappli,SBrkr,28,SBrkr
5,Edwards,0,TA,TA,TA,0,1,nonappli,-9.22E+18,nonappli,CBlock,nonappli,5,30,58,TA,Rec,0,Stucco,Stucco,None,864,RL,6,1Story,No,Normal,WD,nonappli,0,864,Reg,nonappli,N,0,67,nonappli,FuseA,0,FuseA
6,NWAmes,2,Gd,TA,TA,612,2,Unf,26,Attchd,CBlock,TA,7,20,26,TA,BLQ,1,Plywood,Plywood,BrkFace,1686,RL,6,1Story,No,Normal,WD,TA,0,1686,Reg,TA,Y,0,79,nonappli,SBrkr,131,SBrkr
4,Sawyer,2,TA,TA,TA,490,2,Unf,16,Attchd,CBlock,TA,8,20,16,Ex,BLQ,1,Plywood,Plywood,None,1620,RL,4,1Story,No,Normal,WD,TA,0,1281,IR1,TA,Y,0,313,GdWo,SBrkr,78,SBrkr
5,Sawyer,2,Gd,TA,TA,576,1,Unf,26,Detchd,CBlock,nonappli,5,85,27,TA,GLQ,0,Wd Sdng,Wd Sdng,None,858,RL,5,SFoyer,Av,Normal,WD,TA,0,858,IR1,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
7,Somerst,2,Gd,Gd,Gd,572,2,RFn,0,Attchd,PConc,Gd,5,20,0,Ex,Unf,1,VinylSd,VinylSd,None,1301,FV,5,1Story,No,Partial,New,TA,0,1293,Reg,TA,Y,0,60,nonappli,SBrkr,121,SBrkr
6,NAmes,2,TA,TA,TA,505,1,RFn,56,Attchd,CBlock,TA,6,20,56,Ex,BLQ,1,Wd Sdng,Wd Sdng,BrkFace,1505,RL,4,1Story,No,Normal,WD,TA,0,1505,Reg,TA,Y,0,128,nonappli,SBrkr,0,SBrkr
4,NAmes,1,TA,TA,TA,280,1,Unf,34,Attchd,CBlock,nonappli,5,20,36,Gd,Unf,0,MetalSd,MetalSd,None,864,RL,5,1Story,No,Abnorml,Oth,TA,0,864,Reg,TA,Y,0,71,nonappli,SBrkr,0,SBrkr
5,SawyerW,2,Gd,TA,TA,528,0,Unf,30,Detchd,CBlock,TA,6,90,30,TA,GLQ,2,Plywood,Plywood,Stone,1224,RL,5,SFoyer,Av,Alloca,WD,TA,0,1086,Reg,TA,Y,2,64,nonappli,SBrkr,0,SBrkr
5,Sawyer,1,Gd,TA,TA,354,1,Unf,54,Attchd,PConc,Gd,6,20,54,TA,BLQ,1,Wd Sdng,Plywood,None,1383,RL,5,1Story,Mn,Normal,WD,TA,0,1383,Reg,TA,Y,0,313,GdPrv,SBrkr,116,SBrkr
5,Mitchel,1,TA,Gd,Gd,264,1,Unf,26,Attchd,CBlock,Ex,5,20,0,Ex,ALQ,1,VinylSd,VinylSd,None,816,RL,9,1Story,No,Normal,WD,TA,0,816,Reg,TA,Y,0,60,MnPrv,SBrkr,0,SBrkr
7,Mitchel,4,Gd,TA,TA,784,2,Fin,11,Attchd,PConc,nonappli,8,90,10,Ex,GLQ,0,VinylSd,VinylSd,BrkFace,1344,RM,5,SFoyer,Gd,Alloca,WD,TA,0,1344,Reg,TA,Y,0,78,nonappli,SBrkr,0,SBrkr
7,Somerst,2,Gd,Gd,Gd,540,2,Unf,1,Detchd,PConc,nonappli,5,160,1,Ex,Unf,0,VinylSd,VinylSd,None,1392,FV,5,2Story,No,Abnorml,WD,TA,689,689,Reg,TA,Y,0,34,nonappli,SBrkr,102,SBrkr
5,NAmes,2,TA,TA,TA,461,1,Unf,33,Detchd,CBlock,nonappli,6,20,47,Gd,Unf,0,MetalSd,MetalSd,BrkCmn,1065,RL,5,1Story,No,Normal,COD,TA,0,1065,IR1,TA,Y,1,80,nonappli,SBrkr,0,SBrkr
5,Crawfor,2,TA,TA,TA,552,2,Unf,22,Detchd,PConc,Gd,8,50,4,Ex,Unf,1,Wd Sdng,Wd Shng,None,1250,RL,6,1.5Fin,No,Normal,WD,TA,589,661,Reg,TA,Y,0,53,nonappli,SBrkr,0,SBrkr
4,OldTown,0,TA,TA,TA,0,2,nonappli,-9.22E+18,nonappli,BrkTil,nonappli,8,190,1,Gd,Unf,0,MetalSd,MetalSd,None,1452,RM,5,2Story,No,Partial,New,nonappli,716,736,Reg,nonappli,Y,0,33,nonappli,SBrkr,0,SBrkr
6,Edwards,0,TA,TA,TA,0,1,nonappli,-9.22E+18,nonappli,BrkTil,nonappli,5,50,58,Fa,Unf,0,Wd Sdng,Wd Sdng,None,1096,RL,5,1.5Fin,No,Normal,WD,nonappli,524,572,Reg,nonappli,N,0,60,nonappli,FuseF,8,FuseF
7,Somerst,2,Gd,Gd,Gd,480,2,Fin,1,Attchd,PConc,nonappli,6,20,0,Ex,Unf,0,CemntBd,CmentBd,None,1428,FV,5,1Story,No,Partial,New,TA,0,1428,Reg,TA,Y,0,95,nonappli,SBrkr,120,SBrkr
6,Gilbert,2,Gd,TA,TA,431,2,Fin,13,Attchd,PConc,TA,8,60,12,Gd,GLQ,1,HdBoard,HdBoard,None,1658,RL,5,2Story,No,Normal,WD,TA,885,773,Reg,TA,Y,1,313,nonappli,SBrkr,84,SBrkr
5,NAmes,2,TA,Gd,TA,720,1,RFn,27,Detchd,CBlock,nonappli,5,20,5,Gd,ALQ,0,VinylSd,VinylSd,None,864,RL,8,1Story,No,Normal,WD,TA,0,864,Reg,TA,Y,0,60,nonappli,SBrkr,0,SBrkr
5,SWISU,0,TA,TA,TA,0,2,nonappli,-9.22E+18,nonappli,PConc,nonappli,10,190,11,Gd,Unf,0,VinylSd,VinylSd,None,1928,RH,8,2Story,Mn,Normal,WD,nonappli,980,686,Reg,nonappli,Y,0,313,nonappli,SBrkr,0,SBrkr
6,NAmes,2,TA,Gd,Gd,462,1,RFn,46,Attchd,CBlock,Gd,7,20,3,TA,Unf,1,Wd Sdng,Wd Sdng,BrkFace,1537,RL,9,1Story,No,Abnorml,COD,TA,0,1319,Reg,TA,Y,1,80,GdPrv,SBrkr,36,SBrkr
7,Gilbert,3,Gd,Gd,Gd,660,2,Fin,0,BuiltIn,PConc,Gd,9,60,0,Ex,Unf,1,VinylSd,VinylSd,None,1863,RL,5,2Story,Av,Partial,New,TA,984,879,IR1,TA,Y,1,58,nonappli,SBrkr,17,SBrkr
10,Somerst,3,Ex,Ex,Ex,812,2,Fin,1,Attchd,PConc,Ex,10,60,1,Ex,GLQ,1,VinylSd,VinylSd,Stone,2007,FV,5,2Story,Av,Normal,WD,TA,981,1017,Reg,TA,Y,1,85,nonappli,SBrkr,52,SBrkr
9,NridgHt,3,Ex,Ex,Gd,874,2,Fin,3,Attchd,PConc,Gd,6,20,2,Ex,GLQ,1,VinylSd,VinylSd,BrkFace,1792,RL,5,1Story,Gd,Normal,WD,TA,0,1792,IR1,TA,Y,0,72,nonappli,SBrkr,49,SBrkr
5,OldTown,2,TA,TA,Gd,480,1,Unf,72,Detchd,CBlock,nonappli,5,30,1,TA,Unf,0,Wd Sdng,Wd Sdng,None,968,RM,6,1Story,No,Normal,WD,TA,0,968,Reg,Fa,Y,0,60,nonappli,SBrkr,0,SBrkr
6,NWAmes,2,TA,Gd,TA,619,2,Unf,38,Attchd,CBlock,Gd,9,60,22,TA,BLQ,1,HdBoard,HdBoard,BrkFace,2654,RL,7,2Story,Mn,Normal,WD,TA,1142,1054,IR1,TA,Y,1,313,nonappli,SBrkr,65,SBrkr
4,Sawyer,1,TA,TA,TA,364,0,Unf,41,Attchd,CBlock,nonappli,3,80,5,Ex,GLQ,0,VinylSd,VinylSd,None,960,RL,9,SLvl,Av,Normal,WD,TA,0,648,IR1,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
10,OldTown,2,TA,Gd,Ex,880,3,Unf,20,Detchd,BrkTil,Gd,9,75,8,Gd,Unf,1,Wd Sdng,Wd Sdng,None,2775,RM,9,2.5Unf,No,Normal,WD,TA,1254,1237,Reg,Gd,Y,1,75,nonappli,SBrkr,502,SBrkr
9,NridgHt,3,Gd,Ex,Ex,694,2,Fin,1,BuiltIn,PConc,Gd,9,60,1,Ex,Unf,1,VinylSd,VinylSd,BrkFace,2643,RL,5,2Story,Av,Normal,WD,TA,574,2153,Reg,TA,Y,1,105,nonappli,SBrkr,84,SBrkr
8,Crawfor,2,Ex,Gd,Gd,482,2,Fin,4,Attchd,PConc,Gd,5,120,3,Ex,GLQ,1,CemntBd,CmentBd,Stone,1646,RM,5,1Story,Gd,Normal,WD,TA,0,1594,IR1,TA,Y,0,44,nonappli,SBrkr,53,SBrkr
6,SawyerW,2,Gd,Gd,Gd,403,2,Unf,21,Attchd,CBlock,TA,5,20,21,TA,GLQ,1,Wd Sdng,Wd Shng,BrkFace,1298,RL,5,1Story,No,Normal,WD,TA,0,1298,Reg,TA,Y,0,313,nonappli,SBrkr,26,SBrkr
8,CollgCr,3,Gd,Gd,Gd,776,2,RFn,2,Attchd,PConc,nonappli,7,20,2,Ex,Unf,0,VinylSd,VinylSd,Stone,1694,RL,5,1Story,Av,Normal,WD,TA,0,1694,IR1,TA,Y,0,64,nonappli,SBrkr,33,SBrkr
6,NAmes,1,TA,TA,TA,301,1,RFn,47,Attchd,CBlock,nonappli,5,20,9,TA,BLQ,0,MetalSd,MetalSd,None,958,RL,8,1Story,Mn,Normal,WD,TA,0,958,IR1,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
5,NAmes,1,TA,TA,TA,300,1,Unf,44,Attchd,CBlock,nonappli,6,85,44,TA,BLQ,0,MetalSd,MetalSd,None,999,RL,5,SFoyer,Av,Normal,WD,TA,0,925,IR1,TA,Y,0,69,nonappli,SBrkr,72,SBrkr
5,Sawyer,0,TA,TA,TA,0,1,nonappli,-9.22E+18,nonappli,CBlock,nonappli,6,50,14,Gd,Unf,0,VinylSd,VinylSd,None,1020,RL,8,1.5Fin,No,Normal,WD,nonappli,240,780,Reg,nonappli,N,0,54,nonappli,SBrkr,0,SBrkr
7,Somerst,2,Gd,Gd,Gd,663,2,RFn,10,Attchd,PConc,nonappli,7,60,10,Ex,GLQ,0,VinylSd,VinylSd,None,1674,FV,5,2Story,No,Normal,WD,TA,860,814,Reg,TA,Y,1,313,nonappli,SBrkr,96,SBrkr
8,NoRidge,3,Gd,Gd,Gd,839,2,Fin,13,Attchd,PConc,TA,7,20,13,Ex,GLQ,1,MetalSd,MetalSd,BrkFace,2113,RL,6,1Story,Gd,Normal,WD,TA,0,2109,IR1,TA,Y,1,91,nonappli,SBrkr,46,SBrkr
6,NWAmes,2,TA,Gd,TA,551,2,Fin,31,Attchd,CBlock,TA,8,60,31,TA,LwQ,1,Plywood,Plywood,BrkFace,2030,RL,6,2Story,No,Normal,WD,TA,912,848,IR1,TA,Y,1,313,nonappli,SBrkr,224,SBrkr
6,SawyerW,1,Gd,TA,TA,288,1,RFn,29,Attchd,CBlock,TA,6,160,29,TA,Unf,1,Plywood,Plywood,None,1217,RL,6,2Story,No,Normal,WD,TA,591,626,Reg,TA,Y,1,75,nonappli,SBrkr,28,SBrkr
8,CollgCr,2,Gd,Gd,Gd,647,2,RFn,5,Attchd,PConc,Gd,7,60,5,Ex,Unf,1,VinylSd,VinylSd,BrkFace,2169,RL,5,2Story,No,Normal,WD,TA,885,1284,Reg,TA,Y,1,313,nonappli,SBrkr,87,SBrkr
7,NoRidge,2,Gd,Gd,Gd,467,2,Fin,15,BuiltIn,PConc,Gd,7,60,15,Ex,GLQ,1,HdBoard,HdBoard,None,1850,RL,6,2Story,No,Normal,WD,TA,871,973,IR2,TA,Y,1,313,nonappli,SBrkr,98,SBrkr
5,NAmes,1,TA,TA,TA,336,1,Unf,46,Detchd,CBlock,nonappli,6,20,45,TA,BLQ,0,HdBoard,HdBoard,None,1144,RL,5,1Story,No,Normal,COD,TA,0,1144,Reg,TA,Y,1,71,nonappli,SBrkr,88,SBrkr
7,Blmngtn,2,Gd,Gd,Gd,437,2,Fin,3,Attchd,PConc,Gd,7,120,2,Ex,GLQ,1,VinylSd,VinylSd,BrkFace,1504,RL,5,1Story,No,Normal,WD,TA,0,1346,Reg,TA,Y,0,43,nonappli,SBrkr,20,SBrkr
6,NWAmes,2,TA,Gd,TA,484,1,RFn,32,Attchd,CBlock,Fa,5,20,7,Fa,ALQ,1,HdBoard,HdBoard,BrkFace,1309,RL,6,1Story,No,Normal,WD,TA,0,1040,Reg,TA,Y,1,78,GdPrv,SBrkr,0,SBrkr
6,Edwards,1,TA,TA,TA,280,1,Unf,70,Detchd,BrkTil,nonappli,6,50,59,TA,Rec,0,WdShing,Wd Shng,None,1258,RL,5,1.5Fin,Mn,Normal,WD,TA,560,560,Reg,TA,Y,0,60,MnPrv,SBrkr,0,SBrkr
5,NAmes,1,TA,TA,TA,286,1,RFn,47,Attchd,CBlock,TA,6,20,29,TA,Unf,1,Wd Sdng,Wd Sdng,None,1422,RL,5,1Story,No,Normal,WD,TA,0,978,IR1,TA,Y,0,313,GdWo,SBrkr,0,SBrkr
6,NAmes,1,TA,TA,TA,301,1,RFn,49,Attchd,CBlock,nonappli,7,20,49,Gd,Rec,0,MetalSd,MetalSd,BrkFace,1442,RL,6,1Story,No,Normal,COD,TA,0,1442,Reg,TA,Y,1,75,nonappli,SBrkr,0,SBrkr
5,Edwards,1,TA,TA,TA,240,1,Unf,62,Detchd,CBlock,nonappli,6,50,13,Ex,BLQ,0,MetalSd,MetalSd,None,1200,RL,6,1.5Fin,No,Normal,WD,TA,432,768,Reg,TA,Y,0,70,nonappli,SBrkr,0,SBrkr
6,Gilbert,2,Gd,TA,TA,460,2,RFn,6,Attchd,PConc,TA,7,60,6,Ex,Unf,1,VinylSd,VinylSd,None,1664,RL,5,2Story,No,Normal,WD,TA,711,953,IR1,TA,Y,1,313,nonappli,SBrkr,40,SBrkr
5,NAmes,2,TA,TA,TA,572,1,Unf,45,Detchd,CBlock,TA,6,80,52,TA,ALQ,1,MetalSd,MetalSd,None,1360,RL,5,SLvl,No,Normal,WD,TA,0,384,Reg,TA,Y,0,60,MnPrv,SBrkr,50,SBrkr
8,Gilbert,2,Ex,Gd,Gd,403,2,Fin,2,Attchd,PConc,Gd,6,60,2,Ex,Unf,1,VinylSd,VinylSd,None,1414,RL,5,2Story,Av,Normal,WD,TA,707,707,IR1,TA,Y,1,74,nonappli,SBrkr,35,SBrkr
6,NWAmes,2,TA,TA,TA,457,2,Unf,42,Attchd,CBlock,Gd,7,20,42,TA,Rec,1,BrkFace,Wd Sdng,None,1342,RL,5,1Story,No,Normal,WD,TA,0,1372,Reg,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
5,OldTown,2,Gd,TA,TA,410,1,Unf,67,Detchd,CBlock,Gd,5,190,56,TA,Rec,1,MetalSd,MetalSd,None,1118,RM,7,1.5Fin,Mn,Normal,WD,TA,325,793,Reg,TA,Y,0,65,MnPrv,SBrkr,0,SBrkr
6,Crawfor,2,Gd,TA,TA,360,2,Unf,74,Detchd,BrkTil,Gd,9,70,56,TA,Rec,1,Wd Sdng,Wd Sdng,None,2345,RL,8,2Story,No,Normal,WD,TA,1175,952,IR1,TA,Y,1,80,nonappli,SBrkr,0,SBrkr
6,NWAmes,2,Gd,TA,TA,546,2,RFn,33,Attchd,CBlock,TA,7,20,33,Ex,BLQ,1,Plywood,Plywood,BrkFace,1844,RL,6,1Story,No,Normal,COD,TA,0,1844,IR1,TA,Y,0,105,MnPrv,SBrkr,122,SBrkr
6,BrDale,1,TA,TA,TA,264,1,Unf,37,Detchd,CBlock,nonappli,4,160,37,TA,ALQ,0,HdBoard,HdBoard,BrkFace,987,RM,5,2Story,No,Abnorml,COD,TA,504,483,Reg,TA,Y,1,21,nonappli,SBrkr,0,SBrkr
6,NWAmes,2,TA,Gd,TA,480,2,RFn,33,Attchd,PConc,TA,6,20,9,Gd,ALQ,2,Plywood,Plywood,BrkFace,1610,RL,7,1Story,Mn,Normal,WD,TA,0,1610,IR1,TA,Y,0,313,nonappli,SBrkr,68,SBrkr
6,Mitchel,2,TA,TA,TA,484,1,Unf,24,Attchd,PConc,nonappli,5,20,24,TA,ALQ,0,VinylSd,VinylSd,None,1080,RL,5,1Story,No,Normal,WD,TA,0,1084,Reg,TA,Y,1,71,nonappli,SBrkr,0,SBrkr
4,Mitchel,4,TA,TA,TA,1356,1,Fin,32,2Types,CBlock,TA,7,190,32,Ex,BLQ,1,MetalSd,MetalSd,Stone,1622,RL,4,1Story,Av,Normal,WD,TA,0,1249,Reg,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
6,Gilbert,2,Gd,TA,TA,413,2,Fin,9,Attchd,PConc,TA,8,60,9,Gd,GLQ,1,VinylSd,VinylSd,None,1511,RL,5,2Story,Av,Normal,WD,TA,709,802,IR1,TA,Y,1,70,nonappli,SBrkr,75,SBrkr
5,NAmes,2,TA,TA,TA,484,1,RFn,46,Attchd,PConc,Gd,6,80,46,TA,GLQ,1,Wd Sdng,HdBoard,BrkFace,1152,RL,7,SLvl,Av,Normal,WD,TA,0,1152,IR1,TA,Y,0,313,nonappli,SBrkr,0,SBrkr
5,IDOTRR,1,TA,TA,TA,282,1,Unf,57,Attchd,CBlock,nonappli,6,50,57,TA,BLQ,0,Wd Sdng,Wd Sdng,None,1558,RM,5,1.5Fin,No,Normal,WD,TA,648,910,Reg,TA,Y,1,75,MnPrv,FuseA,0,FuseA
8,SawyerW,2,Gd,Gd,Gd,471,2,RFn,13,Attchd,PConc,TA,8,60,12,Ex,GLQ,1,VinylSd,VinylSd,BrkFace,1911,RL,5,2Story,No,Normal,WD,TA,846,777,IR1,TA,Y,1,80,nonappli,SBrkr,81,SBrkr
5,NAmes,1,TA,TA,TA,756,1,Unf,41,Detchd,CBlock,nonappli,5,20,9,TA,BLQ,0,MetalSd,MetalSd,None,1306,RL,7,1Story,Mn,Normal,WD,TA,0,992,IR1,TA,Y,0,64,nonappli,SBrkr,0,SBrkr
5,OldTown,2,TA,TA,TA,360,2,Unf,99,Detchd,PConc,nonappli,11,75,44,TA,Unf,0,AsbShng,AsbShng,None,2138,RM,5,2.5Unf,No,Normal,WD,Po,1063,849,Reg,Fa,N,0,90,MnPrv,FuseA,156,FuseA
